Filename,Video Title,Vimeo URL,Location,Group,Curriculum Components,Coherence A,Coherence B,Coherence C,Working with Units A,Working with Units B,Models A,Models B,Domains/ Conceptual Categories A,Domains/ Conceptual Categories B,Domains/ Conceptual Categories C,Grade A,Grade B,Grade C ,Grade Band A,Grade Band B,Grade Band C,Grade Band D,Module A,Module B,Module C,Lesson A,Lesson B,Lesson C,Lesson D,Lesson E,Lesson F,Lesson G,Lesson H,Misc. A,Misc. B,Misc. C,Misc D. 
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GPK-M1-TA-L1,Counting With 1 to 1 Correspondence (PK-M1-L1),https://vimeo.com/120491383,1,Red,Fluency,Moving from Concrete to Pictorial to Abstract ,Cross-Grade Coherence,,Place Value Units,Metric and Customary Units,Array and Area Models,Base-Ten Models - quick ten,CC (Counting & Cardinality),NBT (Number & Operations in Base Ten),NF (Number & Operations—Fractions),GPK,GK,G1,P-2 GB,3-5 GB,6-8 GB ,9-12 GB,M1,M3,,L1,L2,L3,L4,L5,L6,L7,L8,,,,
GPK-M1-TA-L2,"Match 2 Objects That Are ""The Same, ButÄ” (GPK-M1-L2)",https://vimeo.com/120491382,1,Red,Conceptual Development,Moving from Concrete to Pictorial to Abstract ,Grade-Level Sequences,Cross-Grade Coherence,Place Value Units,Metric and Customary Units,Array and Area Models,Base-Ten Models - five group,OA (Operations & Algebraic Thinking),NBT (Number & Operations in Base Ten),NS (The Number System),GPK,GK,,P-2 GB,3-5 GB,6-8 GB ,9-12 GB,M1,M2,,L2,L1,L28,L40,L5,,,,,,,
GPK-M1-TA-L3,Match 2 Objects That Are Exactly The Same (GPK-M1-L3),https://vimeo.com/120491381,1,Red,Fluency,Moving from Concrete to Pictorial to Abstract ,Grade-Level Sequences,,Place Value Units,,Array and Area Models,Base-Ten Models - quick ten,NBT (Number & Operations in Base Ten),OA (Operations & Algebraic Thinking),F (Functions),GPK,G1,,P-2 GB,3-5 GB,6-8 GB ,9-12 GB,M1,,,L3,L1,L4,L25,L5,,,,,,,
GPK-M1-TA-L4,Counting Pairs of Body Parts (GPK-M1-L4),https://vimeo.com/120491680,1,Red,Fluency,Moving from Concrete to Pictorial to Abstract ,Cross-Grade Coherence,,Place Value Units,,Array and Area Models,Base-Ten Models - place value disks,CC (Counting & Cardinality),NF (Number & Operations—Fractions),NS (The Number System),GPK,G1,,P-2 GB,3-5 GB,6-8 GB ,9-12 GB,M1,M2,,L4,L1,L7,,,,,,,,,
GPK-M1-TB-L5,Touch and Count with 5-Groups (to 2) (GPK-M1-L5),https://vimeo.com/120491682,1,Red,Fluency,Moving from Concrete to Pictorial to Abstract ,Cross-Grade Coherence,,Place Value Units,,Base-Ten Models - five group,Array and Area Models,CC (Counting & Cardinality),NS (The Number System),EE (Expressions & Equations),GK,,,P-2 GB,3-5 GB,6-8 GB ,9-12 GB,M1,M2,,L5,L1,,,,,,,,,,
GPK-M1-TB-L6,Touch and Count with 5-Groups (to 3) (GPK-M1-L6),https://vimeo.com/120491681,1,Red,Fluency,Grade-Level Sequences,Moving from Concrete to Pictorial to Abstract ,,Place Value Units,Fractional Units,Base-Ten Models - five group,Array and Area Models,CC (Counting & Cardinality),NS (The Number System),NF (Number & Operations—Fractions),GK,,,P-2 GB,3-5 GB,6-8 GB ,9-12 GB,M1,M2,,L6,L1,,,,,,,,,,
GPK-M1-TB-L7,Counting with Movement (GPK-M1-L7),https://vimeo.com/120492037,1,Red,Fluency,Grade-Level Sequences,Cross-Grade Coherence,Moving from Concrete to Pictorial to Abstract ,Place Value Units,Fractional Units,Base-Ten Models - five group,Base-Ten Models - place value disks,CC (Counting & Cardinality),EE (Expressions & Equations),SP (Statistics & Probability),GK,,,P-2 GB,3-5 GB,6-8 GB ,9-12 GB,M1,M2,,L7,L8,,,,,,,,,,
GPK-M1-TC-L8,Counting with Movement and 1 to 1 correspondence (GPK-M1-L8),https://vimeo.com/120491683,1,Red,Fluency,Grade-Level Sequences,,,Place Value Units,Fractional Units,Base-Ten Models - five group,Number Path and Number Line,CC (Counting & Cardinality),OA (Operations & Algebraic Thinking),,GK,,,P-2 GB,3-5 GB,6-8 GB ,9-12 GB,M1,M2,,L8,L6,L7,,,,,,,,,
GPK-M1-TC-L9,Representing Numbers on Fingers in Various Ways (GPK-M1-L9),https://vimeo.com/120492038,1,Red,Fluency,Moving from Concrete to Pictorial to Abstract ,,,Place Value Units,Manipulation of Units using the Properties of Operations,Base-Ten Models - five group,Number Bond,CC (Counting & Cardinality),NF (Number & Operations—Fractions),EE (Expressions & Equations),G1,,,P-2 GB,3-5 GB,,,M1,M2,M3,L9,L10,L15,L18,L12,,,,,,,
